Routing tables

Internet:
Destination        Gateway            Flags        Refs      Use   Netif Expire
default            10.156.64.1        UGSc          120       18     en0       
10.156.68.230      44:18:fd:67:3d:7f  UHLWI           0        8     en0    694
10.156.68.237      e4:50:eb:2:29:a4   UHLWI           0        0     en0    185
10.156.68.238      e8:fb:e9:89:6b:38  UHLWI           0        4     en0    136
10.156.68.245      9c:b6:d0:dd:aa:59  UHLWIi          1      176     en0      2
10.156.68.246      c8:3c:85:7d:35:62  UHLWI           0        2     en0     83
10.156.68.250      c4:98:80:da:d5:87  UHLWI           0        6     en0    274
10.156.69.0        e4:2b:34:21:c7:36  UHLWI           0        4     en0    520
10.156.69.5        18:55:e3:3a:d1:43  UHLWI           0        2     en0    632
10.156.69.10       f0:79:60:da:86:9e  UHLWI           0        1     en0   1194
10.156.69.13       68:fe:f7:3d:58:a3  UHLWI           0        0     en0   1086
10.156.69.16       18:65:90:60:41:91  UHLWI           0        2     en0      2
10.156.69.17       f0:c3:71:ac:89:0   UHLWI           0       17     en0    101
10.156.69.24       e4:a4:71:2a:5a:b7  UHLWI           0      111     en0      2
10.156.69.26       88:6b:6e:e5:a7:18  UHLWI           0        1     en0     66
10.156.69.31       38:53:9c:d:e1:2f   UHLWI           0        6     en0    446
10.156.69.39       38:f9:d3:43:78:fb  UHLWI           0        1     en0     87
10.156.69.42       c0:b6:58:88:d1:da  UHLWI           0        4     en0    287
10.156.69.46       3c:cd:5d:e1:f0:66  UHLWI           0        0     en0   1082
10.156.69.47       8:f4:ab:a8:f4:af   UHLWI           0        0     en0    278
10.156.69.48/32    link#8             UCS             0        0     en0      !
10.156.69.51       2c:f0:ee:64:7d:ca  UHLWI           0        7     en0     68
10.156.69.52       b0:35:b5:66:aa:6d  UHLWI           0        8     en0    274
10.156.69.53       7c:a1:ae:0:34:f6   UHLWI           0        7     en0    327
10.156.69.56       8:e6:89:42:63:78   UHLWI           0        3     en0   1086
10.156.69.57       18:55:e3:cd:c0:86  UHLWI           0        0     en0    890
10.156.69.61       f4:6:16:4d:6:ed    UHLWI           0        3     en0    794
10.156.69.62       14:95:ce:25:58:aa  UHLWI           0        0     en0    753
10.156.69.64       4c:74:bf:95:5f:97  UHLWI           0        3     en0   1053
10.156.69.66       8c:85:90:8:3:9a    UHLWI           0        0     en0   1199
10.156.69.129      38:f9:d3:b1:f1:e5  UHLWI           0        1     en0    263
10.156.69.131      f4:5c:89:8f:29:1d  UHLWI           0        0     en0    939
10.156.70.80       60:8c:4a:5f:a:76   UHLWI           0        3     en0    223
127                127.0.0.1          UCS             0        0     lo0       
127.0.0.1          127.0.0.1          UH              1     4934     lo0       
169.254            link#8             UCS             2        0     en0      !
169.254.203.79     84:fd:d1:20:db:d6  UHLSW           0        0     en0    874
224.0.0/4          link#8             UmCS            2        0     en0      !
224.0.0.251        1:0:5e:0:0:fb      UHmLWI          0        0     en0       
239.255.255.250    1:0:5e:7f:ff:fa    UHmLWI          0       44     en0       
255.255.255.255/32 link#8             UCS             0        0     en0      !

Internet6:
Destination                             Gateway                         Flags         Netif Expire
default                                 fe80::%utun0                    UGcI          utun0       
default                                 fe80::%utun1                    UGcI          utun1       
default                                 fe80::%utun2                    UGcI          utun2       
default                                 fe80::%utun3                    UGcI          utun3       
default                                 fe80::%utun4                    UGcI          utun4       
::1                                     ::1                             UHL             lo0       
fe80::%lo0/64                           fe80::1%lo0                     UcI             lo0       
fe80::1%lo0                             link#1                          UHLI            lo0       
fe80::%en8/64                           link#7                          UCI             en8       
fe80::aede:48ff:fe00:1122%en8           ac:de:48:0:11:22                UHLI            lo0       
fe80::aede:48ff:fe33:4455%en8           ac:de:48:33:44:55               UHLWIi          en8       
fe80::%en0/64                           link#8                          UCI             en0       
fe80::24:1055:97b:ae34%en0              ec:2c:e2:3c:34:b0               UHLWI           en0       
fe80::44:26d7:421c:12f0%en0             8c:85:90:8e:43:b4               UHLWI           en0       
fe80::4d3:57f0:b0a8:fe8e%en0            b0:70:2d:4b:48:52               UHLWI           en0       
fe80::845:dc21:3726:e7c0%en0            b0:35:b5:66:aa:6d               UHLWI           en0       
fe80::86d:953a:9d60:214c%en0            8:e6:89:42:63:78                UHLWI           en0       
fe80::86f:2be7:a2c5:3b1c%en0            74:9e:af:f:86:d8                UHLWI           en0       
fe80::8a2:c26b:1b76:72f4%en0            64:70:33:45:3b:85               UHLWI           en0       
fe80::10c3:887:1d85:29fd%en0            18:81:e:45:f1:89                UHLWI           en0       
fe80::10da:ed8e:631f:6cb%en0            c0:e8:62:7b:d6:ea               UHLWI           en0       
fe80::1455:3e7e:ab93:df59%en0           8c:85:90:79:27:45               UHLI            lo0       
fe80::180f:856e:1615:93cc%en0           8c:85:90:8:3:9a                 UHLWIi          en0       
fe80::1c10:a354:9151:de16%en0           fc:b6:d8:7f:72:a4               UHLWI           en0       
fe80::1c4f:7d9:9240:7dd9%en0            4c:74:bf:95:5f:97               UHLWI           en0       
fe80::%awdl0/64                         link#10                         UCI           awdl0       
fe80::6c0c:d7ff:fe6e:cfbb%awdl0         6e:c:d7:6e:cf:bb                UHLI            lo0       
fe80::%utun0/64                         fe80::edf4:989e:e8c:4921%utun0  UcI           utun0       
fe80::edf4:989e:e8c:4921%utun0          link#16                         UHLI            lo0       
fe80::%utun1/64                         fe80::f727:ae14:fc48:2cd5%utun1 UcI           utun1       
fe80::f727:ae14:fc48:2cd5%utun1         link#17                         UHLI            lo0       
fe80::%utun2/64                         fe80::ce89:73cf:e31b:12c0%utun2 UcI           utun2       
fe80::ce89:73cf:e31b:12c0%utun2         link#18                         UHLI            lo0       
fe80::%utun3/64                         fe80::278a:1cf:5992:b92%utun3   UcI           utun3       
fe80::278a:1cf:5992:b92%utun3           link#19                         UHLI            lo0       
fe80::%utun4/64                         fe80::7b6c:35fb:d2e7:3634%utun4 UcI           utun4       
fe80::7b6c:35fb:d2e7:3634%utun4         link#20                         UHLI            lo0       
ff01::%lo0/32                           ::1                             UmCI            lo0       
ff01::%en8/32                           link#7                          UmCI            en8       
ff01::%en0/32                           link#8                          UmCI            en0       
ff01::%awdl0/32                         link#10                         UmCI          awdl0       
ff01::%utun0/32                         fe80::edf4:989e:e8c:4921%utun0  UmCI          utun0       
ff01::%utun1/32                         fe80::f727:ae14:fc48:2cd5%utun1 UmCI          utun1       
ff01::%utun2/32                         fe80::ce89:73cf:e31b:12c0%utun2 UmCI          utun2       
ff01::%utun3/32                         fe80::278a:1cf:5992:b92%utun3   UmCI          utun3       
ff01::%utun4/32                         fe80::7b6c:35fb:d2e7:3634%utun4 UmCI          utun4       
ff02::%lo0/32                           ::1                             UmCI            lo0       
ff02::%en8/32                           link#7                          UmCI            en8       
ff02::%en0/32                           link#8                          UmCI            en0       
ff02::%awdl0/32                         link#10                         UmCI          awdl0       
ff02::%utun0/32                         fe80::edf4:989e:e8c:4921%utun0  UmCI          utun0       
ff02::%utun1/32                         fe80::f727:ae14:fc48:2cd5%utun1 UmCI          utun1       
ff02::%utun2/32                         fe80::ce89:73cf:e31b:12c0%utun2 UmCI          utun2       
ff02::%utun3/32                         fe80::278a:1cf:5992:b92%utun3   UmCI          utun3       
ff02::%utun4/32                         fe80::7b6c:35fb:d2e7:3634%utun4 UmCI          utun4       
